task,disease_label,rep,fold,view,SampleKey,y_true,cell_id,attn_weight,attn_rank,n_cells,CellType,Batch
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell31_A,0.0323233047142455,1,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell15_A,0.0306189750815387,2,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell16_A,0.0299382416062607,3,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell39_C,0.0227180478289405,4,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell30_A,0.0204509870169991,5,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell33_A,0.020316261892728,6,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell18_A,0.0201939866886923,7,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell6_A,0.0200947039764858,8,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell11_C,0.0195265022084224,9,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell13_A,0.0192727633717871,10,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell28_A,0.018509669315562,11,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell13_C,0.0175649468673447,12,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell25_A,0.017460035241471,13,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell21_A,0.0174572356857987,14,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell12_C,0.0174334571577129,15,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell5_A,0.017202761104326,16,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell38_C,0.0166561660200943,17,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell12_A,0.0165799558934587,18,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell7_A,0.0151666776051904,19,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell41_C,0.0144619225266334,20,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell26_C,0.0141997803663682,21,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell19_C,0.0139374491476195,22,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell22_C,0.013908217725834,23,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell23_A,0.0124931438476334,24,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell42_C,0.012340527085298,25,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell22_A,0.0122997845164367,26,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell35_C,0.0120265335404498,27,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell17_A,0.0119626736825336,28,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell36_C,0.011627172174047,29,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell24_A,0.0115026729716928,30,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell32_B,0.0112700136903095,31,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell44_C,0.011218576744274,32,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell27_C,0.0108951340005397,33,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell30_C,0.0107347490765733,34,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell9_A,0.0106586879615504,35,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell24_C,0.0098960595666148,36,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell32_C,0.0096227247715958,37,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell31_C,0.009448763958396,38,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell6_C,0.0093568228620794,39,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell1_C,0.0092060547750633,40,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell21_C,0.0091313813306829,41,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell11_A,0.0091241589240832,42,103,A,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell7_C,0.0087123215604128,43,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell23_C,0.0085548982422475,44,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell15_C,0.008295123503978,45,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell16_C,0.0082112215841629,46,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell17_C,0.0080565894397667,47,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell29_C,0.00784049373045,48,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell14_C,0.0077672815311961,49,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell9_C,0.007520325051242,50,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell4_C,0.0073972028093208,51,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell33_C,0.0072249402628438,52,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell3_B,0.0069942451407794,53,103,B,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell2_C,0.0068284268808875,54,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell28_C,0.0066795782497066,55,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell25_C,0.0064842123840135,56,103,C,2024Dec
stage1_MIL_Control_vs_Liver,Liver,7,1,all,2024Dec_Control-S1,0,S1_Cell11_B,0.0064203501977909,57,103,B,2024Dec
