task,disease_label,rep,fold,view,SampleKey,y_true,cell_id,attn_weight,attn_rank,n_cells,CellType,Batch
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell38_C,0.0690689339125974,1,103,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell15_A,0.0631360959414336,2,103,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell16_A,0.0511014818023427,3,103,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell28_A,0.0500756858231418,4,103,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell13_C,0.0498682840024488,5,103,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell26_C,0.0408397259393621,6,103,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell41_C,0.0402045490159249,7,103,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell30_C,0.0382625513773666,8,103,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell11_C,0.0352779306226303,9,103,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell39_C,0.0350847407850163,10,103,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell31_A,0.0350797414452281,11,103,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell7_C,0.0300027330763367,12,103,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell14_C,0.0287305948153352,13,103,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell6_A,0.0277023438697257,14,103,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell32_C,0.0270317412967235,15,103,C,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell33_A,0.0230668215350915,16,103,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell21_A,0.0227539530163772,17,103,A,2024Dec
stage1_MIL_Control_vs_Pancreas,Pancreas,3,1,all,2024Dec_Control-S1,0,S1_Cell20_C,0.0223677782321242,18,103,C,2024Dec
