task,disease_label,rep,fold,view,SampleKey,y_true,cell_id,attn_weight,attn_rank,n_cells,CellType,Batch
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell8_B,0.3052346681449683,1,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell11_B,0.1609945433097973,2,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell34_C,0.0845869102122949,3,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell7_B,0.0778366916972185,4,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell12_B,0.0631739939057648,5,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell33_C,0.0609768475080072,6,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell9_B,0.0538605521688727,7,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell5_B,0.0409482863179769,8,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell36_C,0.0283661594159235,9,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell10_B,0.0250536704251456,10,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell29_C,0.018224112540586,11,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell15_C,0.014472741515397,12,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell13_A,0.0115173094896157,13,102,A,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell28_C,0.0081261181539904,14,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell39_C,0.0065536135272138,15,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell37_C,0.0055900136483421,16,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell23_C,0.0053691924110923,17,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell17_C,0.0030327664906083,18,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell29_B,0.0029579801243246,19,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell19_C,0.0024430651483737,20,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell32_C,0.0020913090385979,21,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell30_C,0.0019073082211112,22,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell31_C,0.001736912047268,23,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell35_C,0.0017351570863058,24,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell42_C,0.0014075611137326,25,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell41_C,0.0014004871367595,26,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell13_B,0.0013857434856166,27,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell20_A,0.000919370264219,28,102,A,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell4_C,0.0007153961283373,29,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell16_C,0.0006429640290876,30,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell22_C,0.0005542574754331,31,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell38_C,0.0005060639773123,32,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell12_A,0.0004010619271837,33,102,A,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell23_A,0.0003990790541271,34,102,A,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell21_C,0.000299653035934,35,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell18_A,0.0002985369040451,36,102,A,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell20_C,0.0001839082527546,37,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell7_C,0.000178907021466,38,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell16_A,0.0001662873678524,39,102,A,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell12_C,0.0001628757295627,40,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell25_B,0.0001605332641318,41,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell16_B,0.0001593888433199,42,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell28_B,0.0001568979920106,43,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell40_C,0.0001492746365865,44,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell2_B,0.0001492075959135,45,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell25_C,0.0001428969687514,46,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell18_C,0.000116813992418,47,102,C,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell6_B,0.0001144526167734,48,102,B,2024Dec
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,20241026S1_Cell24_C,0.0001086207403424,49,102,C,2024Dec
