rep,fold,view,SampleKey,cell_id,attn_weight,attn_rank,n_cells,y_true,y_true_name,y_pred,y_pred_name,correct,p_Liver,p_Bile,p_Pancreas
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell7_B,0.03378300182521343,1,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell16_B,0.032279221620410685,2,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell5_B,0.026381144858896734,3,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell15_C,0.024476418085396287,4,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell7_C,0.02415995043702424,5,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell2_B,0.022336745588108897,6,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell17_C,0.020897931838408112,7,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell17_A,0.019942916929721832,8,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell16_A,0.019790781568735837,9,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell10_B,0.019515300379134713,10,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell1_C,0.01860670851310715,11,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell5_A,0.018481211457401513,12,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell24_A,0.018015078175812962,13,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell2_C,0.017828039708547294,14,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell11_C,0.017796283774077895,15,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell35_C,0.017558657377958302,16,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
9,1,fused,2024Dec_Bile-S10,20241026S10_Cell19_B,0.01755708223208785,17,94,0,Liver,0,Liver,1,0.9216086550966327,0.054816815800888985,0.023574529101556697
