rep,fold,view,SampleKey,cell_id,attn_weight,attn_rank,n_cells,y_true,y_true_name,y_pred,y_pred_name,correct,p_Liver,p_Bile,p_Pancreas
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell9_A,0.1056947261095047,1,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell28_B,0.06992597132921219,2,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell1_C,0.062184903770685196,3,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell25_A,0.050785940140485764,4,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell32_A,0.039564620703458786,5,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell24_C,0.037666622549295425,6,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell31_C,0.03610550984740257,7,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell33_C,0.035334303975105286,8,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell14_C,0.034790489822626114,9,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell8_C,0.03147375211119652,10,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell3_C,0.030688729137182236,11,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell35_C,0.028730900958180428,12,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell32_C,0.023527709767222404,13,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell18_C,0.021481981500983238,14,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell29_B,0.021294815465807915,15,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell27_A,0.019025223329663277,16,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell8_B,0.018119892105460167,17,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell13_C,0.01674816757440567,18,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell15_A,0.015610034577548504,19,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell16_A,0.015058796852827072,20,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell17_C,0.014845761470496655,21,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell38_C,0.01237709354609251,22,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell7_C,0.012166814878582954,23,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell7_B,0.012059752829372883,24,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell30_B,0.011669132858514786,25,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell25_C,0.0103767653927207,26,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell1_B,0.009832985699176788,27,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell2_C,0.00871104747056961,28,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell31_A,0.00857495330274105,29,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell9_C,0.00820925086736679,30,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell14_B,0.007666796911507845,31,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell28_A,0.006675607990473509,32,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell12_C,0.0066209519281983376,33,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell11_C,0.0064446283504366875,34,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell27_B,0.006126229651272297,35,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell18_B,0.006109591107815504,36,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell8_A,0.005941067356616259,37,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell12_B,0.005546892061829567,38,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell20_A,0.005505585577338934,39,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell6_A,0.0053982604295015335,40,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell17_B,0.0050445138476789,41,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell3_B,0.004963784012943506,42,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell2_B,0.004922783002257347,43,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell22_B,0.004721079021692276,44,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell6_B,0.0046974713914096355,45,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell28_C,0.0046204919926822186,46,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell4_B,0.0045842574909329414,47,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell26_A,0.004166058264672756,48,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell23_B,0.004150372464209795,49,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell13_A,0.003910049796104431,50,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell10_B,0.003665467258542776,51,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell15_B,0.003393737366423011,52,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell17_A,0.003061529016122222,53,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell26_B,0.003028295235708356,54,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell4_A,0.0029919722583144903,55,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell27_C,0.002738955430686474,56,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell11_B,0.0026613797526806593,57,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell18_A,0.002436988754197955,58,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell7_A,0.0024336546193808317,59,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell10_C,0.002252932172268629,60,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell2_A,0.002246640855446458,61,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell13_B,0.002213852945715189,62,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell5_A,0.002160297241061926,63,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell22_A,0.00211506150662899,64,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell4_C,0.0020064832642674446,65,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell25_B,0.001983129885047674,66,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell3_A,0.0019505765521898866,67,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell6_C,0.0019440812757238746,68,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell1_A,0.001883527496829629,69,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell11_A,0.0018540751188993454,70,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,ch,2024Dec_Bile-S3,20241026S3_Cell5_B,0.0018104898044839501,71,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
