rep,fold,view,SampleKey,cell_id,attn_weight,attn_rank,n_cells,y_true,y_true_name,y_pred,y_pred_name,correct,p_Liver,p_Bile,p_Pancreas
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell35_C,0.03171531856060028,1,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell38_C,0.031644243746995926,2,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell18_C,0.028403492644429207,3,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell31_C,0.027481121942400932,4,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell8_C,0.027387285605072975,5,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell30_B,0.02703884057700634,6,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell6_B,0.025988508015871048,7,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell12_C,0.025945590808987617,8,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell13_C,0.024501726031303406,9,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell25_C,0.023603221401572227,10,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell29_B,0.023062599822878838,11,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell17_B,0.022752560675144196,12,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell28_A,0.022706832736730576,13,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
9,4,fp,2024Dec_Bile-S3,20241026S3_Cell3_B,0.022660527378320694,14,87,0,Liver,2,Pancreas,0,0.150686116629329,0.006854395173837695,0.8424594881959907
